input,output
تولید ناخالص داخلی معیار مهمی در اقتصاد است؟,مهم‌ترین متغیری است که در تجزیه و تحلیل‌ها و ارزیابی‌های اقتصاد کلان از آن استفاده می‌شود
چه کالاهایی محاسبه این شاخص مورد توجه هستند؟,در محاسبه GDP تنها کالاها و خدمات نهایی وارد می‌شوند و کالا و خدمات واسطه‌ای محاسبه نمی‌گردند
پس ارزش کالاهای میانی چه می‌شود؟,ارزش کالای واسطه در ارزش کالای نهایی وجود دارد
مثالی هست؟,برای مثال کتاب که یک کالای نهایی است در محاسبه GDP وارد می‌شود؛ اما ارزش کاغذی که برای ساخت این کتاب از آن استفاده شده در GDP نمی‌آید
فروش مواد خام هم در این شاخص لحاظ می‌گردد؟,غیرقابل‌پاسخ
کالاهای قاچاق چطور؟,غیرقابل‌پاسخ
کالاهای احتکار شده در این شاخص موثرند؟,اگر کالایی تولید شود و به جای آنکه مورد استفاده قرار گیرد، جهت استفاده یا فروش در آینده، ذخیره و به موجودی انبار اضافه شود. آن را کالایی نهایی در نظر گرفته و به عنوان سرمایه‌گذاری در محاسبه GDP وارد می‌کنیم. به عبارت دیگر، افزایش موجودی انبار باعث افزایش GDP و کاهش موجودی انبار باعث کاهش GDP می‌شود
مال ایران چقدر است؟,کل ارزش ریالی محصولات نهایی تولیدشده توسط واحدهای اقتصادی مقیم کشور در دورهٔ زمانی معین (سالانه یا فصلی) است
چه کسی بنیان‌گذار اشکانیان بود؟,توسط ارشک
ارشک شخص خاصی بود؟,رهبر قبایل ایرانی پرنی
چه سلسله‌ای را براندازی کرد؟,سلوکیان
تنهایی این کار را کرد؟,با متحد کردن پارتیان و دیگر اقوام ایرانی
این قیام خونریزی زیادی داشت؟,غیرقابل‌پاسخ
به لحاظ به تجاری وضع حکومت اشکانی مناسب بود؟,به‌دلیل قرار گرفتن جاده ابریشم در گسترهٔ حکومت اشکانی و قرار گرفتن در مسیر بازرگانی بین جمهوری روم (بعدها امپراتوری روم) و حوضه مدیترانه و امپراتوری هان در چین، این امپراتوری به مرکزی برای بازرگانی جهانی تبدیل شد
با کشورهای همسایه هم مشکل داشتند؟,نخستین دشمنان اشکانیان، سلوکیان در غرب و سکاها در شمال بودند. اما رفته رفته و با گسترش قدرت آنان به سوی غرب، این دولت وارد ستیز با پادشاهی ارمنستان و در نهایت یک رقابت طولانی با رومیان شد
جنگی هم رخ داد؟,زد و خورد میان ایران و روم در سده‌های بعد و تا پایان دوران ساسانی ادامه پیدا کرد
گستره قلمرو اشکانی از کجا تا کجا بود؟,در دورهٔ اقتدارش از رود فرات تا هندوکش و از کوه‌های قفقاز تا خلیج فارس را شامل می‌شد
این حکومت چطور از بین رفت؟,سرانجام این جنگ‌های داخلی بود که زمینه‌ساز ضعف و زوال اشکانیان را فراهم ساخت که منجر به شورش اردشیر بابکان، فرمانروای اصطخر در پارس، گردید. اردشیر در ۲۲۴ میلادی اردوان پنجم را شکست داد و با ورود به تیسفون، پایان دولت اشکانی را رقم زد
با فروپاشی حکومت خاندانش هم منقرض شد؟,با وجود سقوط دولت اشکانی در ایران، اما دودمان اشکانیان، همچنان در غالب اشکانیان ارمنستان، اشکانیان ایبری و اشکانیان آلبانیای قفقاز تا قرن‌ها بر منطقه قفقاز حکومت می‌کردند
از این دوره آثاری باقی مانده؟,منابعی نظیر سکه‌ها، سفال نوشته‌ها، سنگ‌نبشته‌ها و اسناد به دست آمده
گنج چطور؟,غیرقابل‌پاسخ
میوکاردیوم در کجا قرار دارد؟,تشکیل لایه میانی بین لایه بیرونی دیواره قلبی (اپیکاردیوم) و لایه داخلی (اندوکاردیوم) می‌دهد
آیا بخش مهمی در قلب است؟,بافت اصلی دیواره‌های قلبی را تشکیل می‌دهد
